Data;DTP - 01 ano(1º REF);Poliomielite(VOP/VIP)(1ºREF);FA(< 1 ano);Varicela;Tríplice Viral - D1;Rotavírus Humano;Pneumocóccica(1 ano);Menigocócica Conj.C(< 1 ano);Pentavalente (< 1 ano);Tríplice Viral - D2;Hepatite A;Pneumocóccica(<1 ano);BCG;Menigocócica Conj.C(1 ano);Poliomielite(< 1 ano);População;Região
01/01/2022;89,15;90,94;86,18;95,1;90,94;85,59;84,99;92,72;99,26;60,62;90,34;89,15;98,66;75,48;99,26;2019;311 - AMAUC - CONCORDIA
01/08/2018;107,54;93,01;98,4;42,87;117,84;105,43;141,04;95,35;107,54;49,9;118,31;109,64;115,97;109,41;102,85;5122;319 - AMPLA - MAFRA
01/09/2022;90,58;75,05;69,3;98,63;102,08;85,41;88,28;94,32;86,56;92,88;99,78;89,14;79,94;77,64;82,53;4173;310 - AMARP - VIDEIRA
01/09/2017;60,04;113,28;133,48;111,92;105,31;182,45;93,85;165,54;161,46;113,67;113,86;170,01;123,19;102,98;156,8;6176;318 - AMOSC - CHAPECO
01/08/2019;28,47;91,62;88,51;106,75;116,09;116,53;116,98;111,19;35,14;106,75;108,08;125,87;98,3;116,09;96,96;2698;314 - AMESC - ARARANGUA
01/04/2015;72,82;82,58;0,13;47,36;102,76;92,47;103,55;86,01;96,96;46,3;93,79;93;128,48;99,33;91,28;9097;315 - AMFRI - ITAJAI
01/10/2016;75,27;105,52;1,34;80,65;74,94;88,71;76,28;99,47;103,84;80,31;76,62;89,72;76,62;74,26;103,84;3571;325 - AMVALI - JARAGUA DO SUL
01/08/2015;50,71;38,63;41,71;46,45;54,98;64,45;50;54,74;57,82;48,82;66,82;57,82;94,31;54,27;51,9;5064;319 - AMPLA - MAFRA
01/01/2023;111,71;105,58;99,44;108,03;103,73;106,8;109,87;113,55;115,4;95,14;103,12;108,64;100,66;97,6;114,78;1955;311 - AMAUC - CONCORDIA
01/09/2021;66,05;63,78;58,97;68,89;68,32;74,27;61,8;70,02;72,29;58,68;50,74;72,29;65,49;46,49;71,16;4233;310 - AMARP - VIDEIRA
01/09/2018;62,72;59,27;77,49;71,36;61,57;98,79;61,57;100,51;85,55;71,36;69,44;98,98;105,88;63,49;84,02;6256;318 - AMOSC - CHAPECO
01/09/2020;71,61;77,99;97,99;60,59;101,18;92,78;102,63;96,26;86,69;55,96;78,57;94,81;79,15;101,18;100,02;4139;310 - AMARP - VIDEIRA
01/04/2016;65,68;3,97;0,37;76,59;94,31;75,35;81,54;76,22;61,96;73,12;68,16;77,33;142,89;91,58;71,01;9683;315 - AMFRI - ITAJAI
01/10/2017;87,71;90,39;1,34;87,37;80,31;133,74;81,32;125,01;116,27;87,37;88,71;127,7;106,52;77,96;114,93;3571;325 - AMVALI - JARAGUA DO SUL
01/08/2016;73,24;0,23;71,85;78,09;80,63;80,86;73,7;76,7;82,71;79,25;77,63;81,09;74,16;75,78;82,48;5194;319 - AMPLA - MAFRA
01/09/2019;17,24;88,2;46,1;96,37;96,01;109,44;89,66;110,89;12,52;98,37;99,27;111,62;100,36;92,92;86,03;6612;318 - AMOSC - CHAPECO
01/08/2015;45,63;36,11;0;44,63;64,69;81,74;52,15;67,2;57,67;45,13;96,28;62,68;73,21;52,65;71,71;2393;314 - AMESC - ARARANGUA
01/07/2018;103,75;101,48;56,88;109,22;114,22;116,04;111,04;68,26;75,54;108,3;116,04;116,04;122,87;73,27;85,1;2637;314 - AMESC - ARARANGUA
